algorithm,maze_rows,maze_cols,run,runtime,states_expanded,peak_memory_usage,path_length
DFS,10,10,1,5.6743621826171875e-05,15,4,15
BFS,10,10,1,7.009506225585938e-05,22,4,15
A*,10,10,1,6.461143493652344e-05,16,4,15
DFS,10,10,2,0.00011920928955078125,38,3,35
BFS,10,10,2,9.083747863769531e-05,40,2,35
A*,10,10,2,0.00011563301086425781,39,2,35
DFS,10,10,3,4.506111145019531e-05,19,4,19
BFS,10,10,3,5.7697296142578125e-05,25,3,19
A*,10,10,3,5.793571472167969e-05,21,4,19
DFS,30,30,1,0.0006265640258789062,105,27,89
BFS,30,30,1,0.0009400844573974609,442,14,69
A*,30,30,1,0.0008859634399414062,295,19,69
DFS,30,30,2,0.0005891323089599609,268,49,137
BFS,30,30,2,0.0010101795196533203,481,11,119
A*,30,30,2,0.0011744499206542969,407,14,119
DFS,30,30,3,0.0003960132598876953,182,46,155
BFS,30,30,3,0.0010368824005126953,505,20,97
A*,30,30,3,0.0012242794036865234,394,23,97
DFS,50,50,1,0.001982450485229492,934,157,589
BFS,50,50,1,0.002618074417114258,1309,21,223
A*,50,50,1,0.0031113624572753906,1027,26,223
DFS,50,50,2,0.0019145011901855469,907,164,377
BFS,50,50,2,0.003086566925048828,1470,36,121
A*,50,50,2,0.0037212371826171875,1100,44,121
DFS,50,50,3,0.0004756450653076172,212,51,179
BFS,50,50,3,0.002838611602783203,1349,32,163
A*,50,50,3,0.002084016799926758,687,41,163
DFS,100,100,1,0.010602951049804688,4245,435,963
BFS,100,100,1,0.01396036148071289,6008,67,219
A*,100,100,1,0.00559234619140625,1670,136,219
DFS,100,100,2,0.00921177864074707,4180,405,723
BFS,100,100,2,0.07969975471496582,6049,66,229
A*,100,100,2,0.013605356216430664,3663,132,229
DFS,100,100,3,0.004246711730957031,1962,215,679
BFS,100,100,3,0.014628171920776367,6044,67,255
A*,100,100,3,0.014035940170288086,3581,134,255
DFS,150,150,1,0.012024879455566406,5172,563,1055
BFS,150,150,1,0.032980918884277344,13783,101,377
A*,150,150,1,0.040279388427734375,10697,225,377
DFS,150,150,2,0.012907028198242188,5659,586,1901
BFS,150,150,2,0.05399155616760254,13804,110,329
A*,150,150,2,0.0288851261138916,6073,234,329
DFS,150,150,3,0.004234790802001953,1944,336,1207
BFS,150,150,3,0.031706809997558594,13735,114,357
A*,150,150,3,0.04043698310852051,9521,248,357
DFS,200,200,1,0.05255842208862305,21063,1113,1843
BFS,200,200,1,0.05849504470825195,24631,143,447
A*,200,200,1,0.036348819732666016,9323,329,447
DFS,200,200,2,0.054500579833984375,22017,1484,1761
BFS,200,200,2,0.06829333305358887,24594,151,471
A*,200,200,2,0.08198761940002441,18215,380,471
DFS,200,200,3,0.020910024642944336,4274,750,2191
BFS,200,200,3,0.10720419883728027,24578,137,459
A*,200,200,3,0.12585115432739258,16113,344,459
